"","Date","AQI"
"1049",2017-11-14,444
"1050",2017-11-15,378
"1051",2017-11-16,357
"1052",2017-11-17,330
"1053",2017-11-18,309
"1054",2017-11-19,297
"1055",2017-11-20,329
"1056",2017-11-21,341
"1057",2017-11-22,348
"1058",2017-11-23,340
"1059",2017-11-24,348
"1060",2017-11-25,347
"1061",2017-11-26,368
"1062",2017-11-27,382
"1063",2017-11-28,360
"1064",2017-11-29,359
"1065",2017-11-30,388
"1066",2017-12-01,377
"1067",2017-12-02,356
"1068",2017-12-03,384
"1069",2017-12-04,415
"1070",2017-12-05,404
"1071",2017-12-06,330
"1072",2017-12-07,215
"1073",2017-12-08,220
"1074",2017-12-09,312
"1075",2017-12-10,389
"1076",2017-12-11,406
"1077",2017-12-12,280
"1078",2017-12-13,263
"1079",2017-12-14,276
"1080",2017-12-15,292
"1081",2017-12-16,228
"1082",2017-12-17,195
"1083",2017-12-18,223
"1084",2017-12-19,291
"1085",2017-12-20,378
"1086",2017-12-21,467
"1087",2017-12-22,370
"1088",2017-12-23,253
"1089",2017-12-24,309
"1090",2017-12-25,398
"1091",2017-12-26,372
"1092",2017-12-27,379
"1093",2017-12-28,398
"1094",2017-12-29,399
"1095",2017-12-30,421
"1096",2017-12-31,451
"1097",2018-01-01,462
"1098",2018-01-02,439
"1099",2018-01-03,405
"1100",2018-01-04,394
"1101",2018-01-05,398
"1102",2018-01-06,403
"1103",2018-01-07,384
"1104",2018-01-08,314
"1105",2018-01-09,373
"1106",2018-01-10,366
"1107",2018-01-11,318
"1108",2018-01-12,306
"1109",2018-01-13,370
"1110",2018-01-14,365
"1111",2018-01-15,352
"1112",2018-01-16,278
"1113",2018-01-17,350
"1114",2018-01-18,411
"1115",2018-01-19,451
"1116",2018-01-20,351
"1117",2018-01-21,310
"1118",2018-01-22,362
"1119",2018-01-23,343
"1120",2018-01-24,286
"1121",2018-01-25,267
"1122",2018-01-26,263
"1123",2018-01-27,284
"1124",2018-01-28,334
"1125",2018-01-29,332
"1126",2018-01-30,300
"1127",2018-01-31,271
"1128",2018-02-01,293
"1129",2018-02-02,318
"1130",2018-02-03,277
"1131",2018-02-04,284
"1132",2018-02-05,313
"1133",2018-02-06,324
"1134",2018-02-07,287
"1135",2018-02-08,334
"1136",2018-02-09,375
"1137",2018-02-10,378
"1138",2018-02-11,350
"1139",2018-02-12,218
"1140",2018-02-13,189
"1141",2018-02-14,217
"1142",2018-02-15,189
"1143",2018-02-16,248
"1144",2018-02-17,277
"1145",2018-02-18,284
